time,F_Tbar,z_Tbar
7.170000,59.539165,-6.527027
7.180000,59.550861,-6.506674
7.190000,59.611542,-6.514222
7.200000,59.657600,-6.575999
7.210000,59.678070,-6.670976
7.220000,59.666370,-6.710959
7.230000,59.654675,-6.676276
7.240000,59.650288,-6.656687
7.250000,59.667103,-6.693618
7.260000,59.643707,-6.711680
7.270000,59.594727,-6.673265
7.280000,59.665642,-6.674029
7.290000,59.702927,-6.766716
7.300000,59.680992,-6.880561
7.310000,59.636398,-6.964980
7.320000,59.625431,-6.987579
7.330000,59.661987,-6.968754
7.340000,59.651749,-6.969474
7.350000,59.604961,-6.959680
7.360000,59.610081,-6.952896
7.370000,59.626163,-7.007932
7.380000,59.663448,-7.113466
7.390000,59.568409,-7.191101
7.400000,59.477753,-7.227269
7.410000,59.494568,-7.215990
7.420000,59.589607,-7.214464
7.430000,59.649559,-7.231805
7.440000,59.599113,-7.223537
7.450000,59.604229,-7.239353
7.460000,59.613003,-7.355445
7.470000,59.621777,-7.450422
7.480000,59.577911,-7.483579
7.490000,59.529659,-7.501684
7.500000,59.610081,-7.496384
7.510000,59.645901,-7.492610
7.520000,59.634937,-7.505415
7.530000,59.577179,-7.503931
7.540000,59.555248,-7.586103
7.550000,59.602768,-7.702153
7.560000,59.695614,-7.755704
7.570000,59.756294,-7.764736
7.580000,59.721935,-7.749641
7.590000,59.675877,-7.737599
7.600000,59.705849,-7.769993
7.610000,59.719742,-7.790345
7.620000,59.626163,-7.830329
7.630000,59.513577,-7.929800
7.640000,59.521618,-7.981825
7.650000,59.566216,-7.965247
7.660000,59.603500,-7.992383
7.670000,59.600574,-8.024777
7.680000,59.544281,-8.013498
7.690000,59.550861,-8.003704
7.700000,59.618851,-8.024777
7.710000,59.638592,-8.107712
7.720000,59.529659,-8.257725
7.730000,59.476292,-8.353422
7.740000,59.493107,-8.342144
7.750000,59.506264,-8.335360
7.760000,59.479214,-8.333833
7.770000,59.409763,-8.318781
7.780000,59.447048,-8.364743
7.790000,59.572792,-8.461967
7.800000,59.653942,-8.514756
7.810000,59.640053,-8.544139
7.820000,59.608616,-8.538118
7.830000,59.539894,-8.529087
7.840000,59.533314,-8.565254
7.850000,59.514309,-8.580349
7.860000,59.482140,-8.576575
7.870000,59.478485,-8.660231
7.880000,59.491642,-8.743166
7.890000,59.536240,-8.774034
7.900000,59.587414,-8.801170
7.910000,59.561829,-8.805707
7.920000,59.576450,-8.808717
7.930000,59.556709,-8.817791
7.940000,59.566216,-8.809480
7.950000,59.615196,-8.886352
